sample,email_id,start,end,entity_type,text
apache_spark,msg_086_1,103,139,EMAIL_ADDRESS,archive-asf-public@cust-asf.ponee.io
apache_spark,msg_086_2,154,190,EMAIL_ADDRESS,archive-asf-public@cust-asf.ponee.io
apache_spark,msg_086_3,339,375,EMAIL_ADDRESS,archive-asf-public@cust-asf.ponee.io
apache_spark,msg_086_4,702,738,EMAIL_ADDRESS,archive-asf-public@cust-asf.ponee.io
apache_spark,msg_086_5,875,900,EMAIL_ADDRESS,dev-help@spark.apache.org
apache_spark,msg_086_6,951,976,EMAIL_ADDRESS,dev-help@spark.apache.org
apache_spark,msg_086_7,1004,1036,EMAIL_ADDRESS,dev-unsubscribe@spark.apache.org
apache_spark,msg_086_8,1057,1077,EMAIL_ADDRESS,dev@spark.apache.org
apache_spark,msg_086_9,1138,1158,EMAIL_ADDRESS,dev@spark.apache.org
apache_spark,msg_086_10,1608,1628,EMAIL_ADDRESS,dev@spark.apache.org
apache_spark,msg_086_11,2366,2386,EMAIL_ADDRESS,dev@spark.apache.org
apache_spark,msg_086_13,2782,2802,EMAIL_ADDRESS,dev@spark.apache.org
apache_spark,msg_086_14,2948,2968,EMAIL_ADDRESS,dev@spark.apache.org
apache_spark,msg_086_15,5088,5111,EMAIL_ADDRESS,dongjoon.hyun@gmail.com
apache_spark,msg_086_16,5245,5311,MESSAGE_ID,CAFu6yH1KUAv52MhqBCKmv64dB60UWqWAzu--pjsT5Vjy=ZCcKA@mail.gmail.com
apache_spark,msg_086_17,5396,5416,EMAIL_ADDRESS,dev@spark.apache.org
apache_spark,msg_086_18,2487,2501,IP_ADDRESS,209.85.166.173
apache_spark,msg_086_49,5073,5086,PERSON,Dongjoon Hyun
apache_spark,msg_086_53,259,272,IP_ADDRESS,3.227.148.255
apache_spark,msg_086_54,474,489,IP_ADDRESS,116.203.246.181
apache_spark,msg_086_55,1310,1325,IP_ADDRESS,116.203.196.100
apache_spark,msg_086_56,1484,1493,IP_ADDRESS,127.0.0.1
apache_spark,msg_086_57,2227,2242,IP_ADDRESS,116.203.227.195
apache_spark,msg_086_58,2288,2303,IP_ADDRESS,116.203.196.100
apache_spark,msg_086_59,2663,2677,IP_ADDRESS,209.85.166.173
apache_spark,msg_086_60,4904,4939,IP_ADDRESS,2002:a05:6e02:3a11:b0:3ce:6b10:17fc
apache_spark,msg_086_64,173,190,DOMAIN,cust-asf.ponee.io
apache_spark,msg_086_65,206,230,DOMAIN,mxout1-ec2-va.apache.org
apache_spark,msg_086_66,232,256,DOMAIN,mxout1-ec2-va.apache.org
apache_spark,msg_086_67,279,296,DOMAIN,mx-eu-03.ponee.io
apache_spark,msg_086_68,358,375,DOMAIN,cust-asf.ponee.io
apache_spark,msg_086_69,432,447,DOMAIN,mail.apache.org
apache_spark,msg_086_70,449,472,DOMAIN,mailgw-he-de.apache.org
apache_spark,msg_086_71,598,622,DOMAIN,mxout1-ec2-va.apache.org
apache_spark,msg_086_72,643,667,DOMAIN,mxout1-ec2-va.apache.org
apache_spark,msg_086_73,721,738,DOMAIN,cust-asf.ponee.io
apache_spark,msg_086_74,884,900,DOMAIN,spark.apache.org
apache_spark,msg_086_75,960,976,DOMAIN,spark.apache.org
apache_spark,msg_086_76,1020,1036,DOMAIN,spark.apache.org
apache_spark,msg_086_77,1061,1077,DOMAIN,spark.apache.org
apache_spark,msg_086_78,1089,1109,DOMAIN,dev.spark.apache.org
apache_spark,msg_086_79,1142,1158,DOMAIN,spark.apache.org
apache_spark,msg_086_80,1247,1273,DOMAIN,spamproc1-he-de.apache.org
apache_spark,msg_086_81,1280,1306,DOMAIN,spamproc1-he-de.apache.org
apache_spark,msg_086_82,1331,1341,DOMAIN,apache.org
apache_spark,msg_086_83,1425,1435,DOMAIN,apache.org
apache_spark,msg_086_84,1500,1526,DOMAIN,spamproc1-he-de.apache.org
